,LAT,LON,Min Distance
0,42.394106,-82.9474,181.1683335
1,42.395122,-83.005077,121.1128806
2,42.40322,-82.946476,88.37887672
3,42.44664,-82.947207,120.5247838
4,42.276956,-83.147536,159.7239556
5,42.400373,-82.94705,116.7611326
6,42.402349,-82.948348,9.056607068
7,42.402497,-82.948445,27.2522386
8,42.366963,-82.935172,91.338197
9,42.401202,-82.957525,38.15870006
10,42.262621,-83.155227,700.6738695
11,42.36796,-82.935829,102.3730579
12,42.406569,-82.948658,86.63285868
13,42.362541,-82.951905,103.3218647
14,42.358253,-83.020241,5.072232847
15,42.278392,-83.147524,420.8190621
16,42.394197,-82.96225,103.3960094
17,42.331215,-83.105337,55.08904467
18,42.395554,-82.958486,121.0737536
19,42.410142,-82.994402,296.9557238
20,42.379869,-82.94479,6.864840472
21,42.359043,-83.194882,174.4067805
22,42.358256,-83.190986,82.43990051
23,42.388097,-83.223597,321.3476746
24,42.394395,-83.197214,29.52652437
25,42.377099,-83.099983,312.2133702
26,42.395306,-83.152558,220.1646834
27,42.352845,-83.22234,10.90461352
28,42.384108,-83.000815,8.761194691
29,42.429416,-82.948812,215.0400601
30,42.436887,-83.00792,83.61032866
31,42.434521,-83.055831,79.92226837
32,42.364271,-82.982692,19.35956299
33,42.396811,-83.025281,73.22821752
34,42.390169,-82.965488,93.61687454
35,42.444146,-83.068884,7.56739248
36,42.433468,-83.202172,401.759508
37,42.359918,-82.938935,90.3620963
38,42.444305,-83.068892,10.12990558
39,42.444551,-83.068903,37.50624592
40,42.436519,-83.059967,7.813035866
41,42.391925,-82.936736,97.08996082
42,42.366594,-82.938963,197.431571
43,42.443821,-83.175555,233.9142572
44,42.443517,-83.068844,77.60499659
45,42.33746,-83.216955,42.76047888
46,42.42049,-83.071903,72.41762684
47,42.427,-83.060608,225.540495
48,42.430658,-83.213969,175.8920787
49,42.370787,-82.97995,50.98379348
50,42.436352,-83.059957,12.66797559
51,42.420074,-83.058237,5.975410603
52,42.381964,-83.00245,3.204757989
53,42.421876,-83.031337,203.6308528
54,42.354371,-83.240701,58.19014315
55,42.43427,-83.080492,108.9514398
56,42.364587,-83.169102,43.56278416
57,42.36146,-83.20351,262.5163097
58,42.403667,-82.987104,114.2283861
59,42.384834,-83.220941,109.6228253
60,42.359049,-83.19276,185.2434543
61,42.35688,-83.190541,13.07203406
62,42.35891,-83.190514,73.54926146
63,42.3908,-83.250267,98.18911729
64,42.359543,-82.986376,92.53206614
65,42.415913,-83.188376,341.8568594
66,42.37716,-83.005905,65.78608948
67,42.378756,-83.009585,182.683325
68,42.445469,-83.048594,132.4823925
69,42.434959,-83.028559,103.0834013
70,42.434298,-83.214105,212.1589192
71,42.373978,-83.007397,95.88583287
72,42.414321,-83.149979,252.3242211
73,42.443215,-83.061498,489.0697757
74,42.434966,-83.059872,75.18011119
75,42.436868,-83.213154,11.76557875
76,42.388841,-82.968587,100.865553
77,42.39863,-82.937518,66.41108273
78,42.444214,-83.068887,94.95783949
79,42.35982,-83.189464,92.57905494
80,42.357311,-83.195861,186.5717341
81,42.433951,-83.05981,105.5857888
82,42.436103,-83.025341,128.8402389
83,42.413534,-82.958763,20.84027069
84,42.407649,-82.948196,90.02271774
85,42.387677,-83.237969,24.63751673
