,LAT,LON,Min Distance
0,42.43009826,-83.24621737,14.48254825
1,42.38142127,-82.96381844,87.52029728
2,42.436581,-83.22195377,95.43833213
3,42.41672258,-82.99885127,100.6934865
4,42.40177633,-83.19114175,49.35009488
5,42.44022106,-83.21831371,12.32698064
6,42.37436815,-83.23147738,34.51823299
7,42.37009895,-83.2373736,12.30373714
8,42.42540848,-82.93249712,112.001167
9,42.41904097,-83.07613366,84.53418427
10,42.35934816,-83.14393738,18.80673214
11,42.37131648,-83.01967136,2.58482346
12,42.36099131,-83.20022404,265.8621993
13,42.43446772,-83.09815722,115.7581586
14,42.4215829,-82.94146187,100.4381522
15,42.39236795,-82.93698295,10.83579904
16,42.37603551,-83.12010012,12.76898065
17,42.38404156,-83.18481342,37.54375662
18,42.42659763,-83.24963734,53.1745631
19,42.38893991,-83.03281823,198.7843075
20,42.40199872,-83.15479763,125.6317911
21,42.40061713,-83.00231157,176.8182454
22,42.37035591,-83.09340982,76.90289219
23,42.32874586,-83.1283712,129.0431736
24,42.4325411,-83.22781312,208.5467989
25,42.42712653,-83.0090409,198.5114233
26,42.39936691,-83.20148809,57.4080923
27,42.41099804,-82.99354847,36.15444972
28,42.43517061,-83.20538396,199.3979809
29,42.39706119,-83.14328403,10.0330234
30,42.4440017,-83.04953323,84.02866297
31,42.33761613,-83.06380194,99.51552477
32,42.42987933,-82.95670656,140.6248484
33,42.3894642,-83.14490529,119.7861766
34,42.38555105,-82.95122746,8.656904132
35,42.33139329,-83.07962638,70.41556787
36,42.39737692,-83.21915718,6.079080396
37,42.35954174,-83.24562394,30.94456137
38,42.41746234,-82.96983105,36.99524723
39,42.37993584,-82.98206726,142.1926863
40,42.41195213,-83.03841026,139.6768651
41,42.43318177,-82.97888222,11.1414197
42,42.3867402,-83.1675338,41.72309795
43,42.4255698,-82.95316445,286.2118721
44,42.4305223,-83.10804034,21.95555166
45,42.37228828,-83.11555322,116.757727
46,42.32047536,-83.1050737,85.16395528
47,42.39993153,-83.16270344,42.19667029
48,42.36628835,-82.99676333,129.0825301
49,42.41169632,-82.97405992,124.8471256
50,42.34433278,-83.06462236,163.7961446
51,42.40595565,-82.9721794,142.6113923
52,42.43805016,-83.0748431,11.04801914
53,42.41007161,-83.12988069,103.504865
54,42.38558331,-83.12149093,11.34580379
55,42.3936804,-83.07237837,58.4108005
56,42.4036557,-82.97650968,10.04746982
57,42.37925613,-83.1138513,42.49485316
58,42.42379759,-83.15272813,36.82247771
59,42.38891802,-83.19388764,103.481455
60,42.39686761,-83.00274829,52.72623285
61,42.43050156,-83.11256996,73.88053318
62,42.43056724,-83.10921106,32.65319593
63,42.36351827,-83.16908823,43.327785
64,42.39018322,-83.08400029,182.6766948
65,42.44273764,-83.0505772,12.19909033
66,42.37109798,-83.1432172,169.4541668
67,42.42853116,-82.99089361,177.3563631
68,42.30706798,-83.13322346,8.816672686
69,42.4200688,-83.07425774,10.61223234
70,42.35923178,-83.13835342,103.9189626
71,42.34870569,-83.10704938,134.2964049
72,42.39579714,-82.93920225,18.56238673
73,42.447689,-82.98927811,106.2112479
74,42.34691619,-83.06616872,28.87568853
75,42.37565064,-83.17311315,94.98361417
76,42.32123068,-83.14223661,85.60904047
77,42.32300289,-83.10145966,113.0262063
78,42.39898665,-83.03969159,78.95028546
79,42.39345801,-82.9574832,105.9217502
80,42.43901808,-83.2030575,121.3644399
81,42.36170112,-83.14396388,91.2580357
82,42.431428,-83.27282816,3.587886979
83,42.44547086,-83.0930238,64.4889879
84,42.44404087,-83.15588308,64.67678107
85,42.42132249,-82.9817998,21.40664392
86,42.35496718,-82.9999033,109.9917975
87,42.32524984,-83.11459682,176.1433016
88,42.4031775,-82.94286305,87.24198534
89,42.41725839,-83.198158,153.8016138
90,42.40893776,-83.07013373,194.4340193
91,42.40596833,-83.23642758,125.5464217
92,42.36927737,-83.18399761,9.767233066
93,42.40628751,-83.25345715,106.8416882
94,42.38883275,-83.04174265,152.2291012
95,42.344221,-83.22077383,44.01336803
96,42.43834745,-83.06241805,167.7871558
97,42.4248381,-83.08621728,100.2430503
98,42.37793369,-83.16183735,13.79533854
99,42.39072018,-83.19041351,11.57975029
100,42.44563102,-83.09843377,32.17808677
101,42.31986868,-83.10021404,118.6712404
102,42.39074323,-83.07609102,148.6533624
103,42.43448154,-83.1414738,36.07159333
104,42.35294263,-83.09994095,42.05897706
105,42.41496996,-83.04047284,70.10977264
106,42.38925563,-83.12778008,25.16618112
107,42.40028643,-83.15593033,76.21650859
108,42.37584077,-83.24249319,38.34625494
109,42.32796346,-83.12984036,81.07030172
110,42.4268615,-83.10141933,194.1272465
111,42.38111592,-83.1170604,200.7564218
112,42.38780773,-83.12959524,5.522245942
113,42.43068132,-83.15980314,102.982081
114,42.42280893,-83.20818746,16.66124814
115,42.36612141,-83.06762387,104.256721
116,42.40812771,-83.21066717,87.29296154
117,42.40312796,-83.2289873,18.98340612
118,42.31755259,-83.10975955,121.7841153
119,42.37763257,-83.06893074,187.915963
120,42.39166736,-82.95631248,169.7623371
121,42.41200168,-83.22645343,128.0741708
122,42.38331101,-82.96242764,10.16759441
123,42.40656636,-83.02734144,403.6188736
124,42.33110228,-83.12113026,13.92780865
125,42.31793054,-83.09740708,96.35521961
126,42.41787601,-82.99865999,98.07643285
127,42.43444121,-82.96133873,8.812760291
128,42.42265913,-83.20818746,85.29101381
129,42.39835751,-83.19079722,101.6711575
130,42.41327034,-83.04968303,26.11120063
131,42.42631763,-83.11101323,79.89908028
132,42.38813136,-83.27299652,30.76389563
133,42.36892247,-83.16405967,24.6408616
134,42.31380307,-83.11924974,276.035966
135,42.43657063,-83.21197386,97.22837814
136,42.44442804,-83.05064749,52.29783851
137,42.4271392,-82.93830692,38.3195198
138,42.39968839,-83.19749774,89.10797483
139,42.35297619,-83.10767122,109.7776967
140,42.36613049,-83.18855373,97.14940102
141,42.33749053,-83.11115726,201.7565531
142,42.3831808,-83.27339393,328.8456111
143,42.40738103,-83.17608373,59.08277284
144,42.43579745,-83.22323741,125.9158415
145,42.36354707,-83.24587744,38.99502472
146,42.43935109,-82.98525319,70.85790957
147,42.34741628,-83.09991906,101.8133503
148,42.40278803,-82.9598834,97.05757258
149,42.40815767,-83.13452784,45.28124695
150,42.35408108,-83.11027346,61.1554874
151,42.44096198,-82.95675035,111.7790499
152,42.44237813,-83.13310823,218.0308009
153,42.42934006,-83.22532304,194.2865281
154,42.36889251,-83.12085026,64.6886007
155,42.39983128,-82.95125857,12.51294987
156,42.33019416,-83.07353202,11.98444236
157,42.38185206,-82.98974726,30.18628771
158,42.39359052,-83.25405404,180.2683641
159,42.40261347,-83.22288291,79.27076325
160,42.35395783,-83.04886625,179.1704607
161,42.3974714,-83.19732374,33.46158321
162,42.40696621,-82.96689965,92.16832778
163,42.37150012,-83.13456472,66.59798532
164,42.43689788,-83.03416755,139.5609315
165,42.33628639,-83.04736464,103.7109453
166,42.43958039,-82.98767298,22.30053051
167,42.39052775,-83.15416733,42.19667673
168,42.36645889,-83.22273732,36.00488921
169,42.391256,-83.12688015,30.17527777
170,42.3594153,-82.98845868,158.5271309
171,42.44282752,-83.09732758,88.02750333
172,42.36035525,-83.11581133,9.043136321
173,42.42213254,-82.98169033,89.93211142
174,42.33338034,-83.14385672,102.9284751
175,42.42121532,-83.06830045,144.1658255
176,42.43252036,-82.97932355,10.33872496
177,42.4086785,-83.20873825,33.96451787
178,42.41750728,-83.16038735,42.90957793
179,42.40134768,-83.25202717,111.6846028
180,42.35444866,-83.17853809,107.0537962
181,42.35975607,-83.10519075,134.7942568
182,42.36948017,-83.2118932,109.8774126
183,42.37678564,-83.07138049,5.427010164
184,42.42146076,-83.2122239,128.556464
185,42.36165388,-83.13332716,69.70516141
186,42.4352409,-83.21517374,99.9528603
187,42.44011159,-83.1612435,89.34377135
188,42.33928578,-83.08233063,64.06896973
189,42.43154668,-82.95829095,215.3825842
190,42.41521078,-83.06649828,104.3618415
191,42.38803767,-83.19625788,12.79268897
